

gen best mean std div
0 47.690088 -1.401298 10.64069 0.761236
1 58.746844 2.636622 13.961815 0.751757
2 58.77389 8.69573 16.71156 0.746352
3 64.609837 15.380266 19.239017 0.734888
4 64.609837 23.837117 18.655015 0.714906
5 66.31071 30.817937 18.336709 0.68502
6 66.31071 37.71825 15.673838 0.630645
7 78.811127 41.418105 14.184476 0.574848
8 78.811127 44.45441 13.025802 0.504758
9 78.811127 46.622422 11.984914 0.464431
10 78.811127 47.276188 10.66499 0.42873
11 78.811127 47.23105 11.079073 0.418103
12 78.811127 47.104034 11.255875 0.370063
13 78.811127 47.790773 10.850779 0.357326
14 78.811127 48.288054 11.226457 0.33883
15 78.811127 48.376706 11.773441 0.322639
16 78.811127 49.432614 12.275848 0.333057
17 78.811127 50.385013 12.381137 0.321818
18 78.811127 51.347023 11.787413 0.306439
19 78.811127 51.799239 11.928317 0.275813
20 78.811127 51.131594 12.225077 0.247688
21 79.072045 51.877248 13.483625 0.212602
22 79.072045 52.632299 13.232031 0.199464
23 79.072045 53.079131 13.067502 0.186814
24 79.072045 53.035507 13.394531 0.150067
25 79.072045 53.328459 13.03372 0.1512
26 79.072045 53.93069 13.52817 0.150286
27 79.072045 54.457249 13.651946 0.15064
28 79.072045 53.508137 14.779161 0.152389
29 79.072045 53.283442 14.943533 0.128499
30 79.072045 53.433509 14.716673 0.128583
31 79.072045 53.553353 14.15881 0.129239
32 79.072045 53.524222 13.933943 0.129927
33 79.072045 53.205385 13.941789 0.131052
34 79.072045 52.954219 13.827708 0.130085
35 79.072045 53.94691 13.094848 0.131087
36 79.072045 54.185799 12.801803 0.13089
37 79.072045 53.428634 13.66616 0.130096
38 79.072045 53.411584 13.980999 0.128595
39 79.072045 53.319131 13.597895 0.129734
40 79.072045 53.460796 13.355435 0.131092
41 79.072045 54.018808 13.670681 0.130271
42 79.072045 53.562392 13.653307 0.131105
43 79.072045 52.048199 14.576764 0.130975
44 79.072045 51.870852 14.846015 0.130657
45 79.072045 52.161031 14.593706 0.097936
46 79.072045 52.330292 14.76034 0.098047
47 79.072045 52.704696 14.441258 0.099362
48 79.072045 52.708155 14.604859 0.098914
49 79.072045 52.265346 14.343224 0.09946
50 79.072045 52.489595 13.828293 0.099467
51 79.072045 52.819601 13.311919 0.100636
52 79.072045 53.060594 14.442212 0.099882
53 79.072045 53.428835 14.389556 0.097714
54 79.072045 53.393663 14.13513 0.098723
55 79.072045 53.061542 13.639268 0.099036
56 79.072045 52.410289 13.935791 0.100343
57 79.072045 53.002057 13.634287 0.102222
58 79.072045 52.467348 14.079388 0.102282
59 79.072045 52.19459 14.190191 0.103074
60 79.072045 52.153774 13.68761 0.101527
61 79.072045 52.572739 13.62338 0.102733
62 79.33599 51.93311 13.604003 0.103728
63 79.33599 53.412031 13.310164 0.103127
64 79.33599 53.632515 13.323975 0.104563
65 79.33599 52.16659 14.579634 0.10327
66 79.33599 51.15308 15.283215 0.102925
67 79.33599 50.960968 14.666389 0.103621
68 79.33599 52.433598 13.638759 0.102778
69 79.33599 52.544834 14.019729 0.099428
70 79.33599 52.502231 13.998809 0.099007
71 79.33599 51.912321 13.764677 0.099898
72 79.33599 52.393582 13.237444 0.099767
73 79.33599 52.16927 12.301392 0.100512
74 79.33599 51.197291 12.546855 0.102035
75 79.33599 51.334443 12.878679 0.104529
76 79.33599 50.802285 13.688592 0.102039
77 79.33599 50.697563 14.148372 0.10224
78 79.33599 52.093896 14.113263 0.103647
79 79.33599 52.439225 13.676149 0.102234
80 79.33599 52.912483 13.485377 0.097808
81 79.33599 52.887593 14.0039 0.096657
82 79.33599 52.655856 14.274973 0.09701
83 79.33599 52.42187 14.429408 0.096798
84 79.33599 51.667663 13.727356 0.091574
85 79.33599 51.2839 14.950257 0.092711
86 79.33599 51.49014 15.260186 0.094547
87 79.33599 52.367408 15.011685 0.093148
88 79.33599 51.96147 15.54875 0.089102
89 79.33599 53.006866 14.504243 0.088933
90 79.33599 53.620586 14.042839 0.084635
91 79.33599 53.230421 14.430229 0.084272
92 79.33599 53.367392 13.858558 0.083334
93 79.33599 53.604104 14.788337 0.080614
94 79.33599 54.334222 14.007986 0.080882
95 79.33599 54.649225 14.069804 0.080486
96 79.33599 54.042955 14.41792 0.080295
97 79.33599 53.260253 14.953199 0.081454
98 79.33599 52.83737 14.70762 0.080454
99 79.33599 53.259315 15.04013 0.082249
100 79.33599 54.100421 15.012227 0.081745
101 79.33599 53.931784 15.008595 0.082469
102 79.33599 52.862197 16.404044 0.082903
103 79.33599 53.229549 15.37514 0.083236
104 79.33599 53.021307 15.751617 0.082647
105 79.33599 53.529223 15.442709 0.085315
106 79.33599 52.148716 16.928702 0.083948
107 79.33599 53.054446 16.436371 0.080424
108 79.33599 53.030355 15.89219 0.078869
109 79.33599 53.553013 15.742017 0.078967
110 79.33599 53.378176 15.746923 0.079102
111 79.33599 53.852157 15.107235 0.07861
112 79.33599 54.737257 14.253602 0.081818
113 79.33599 55.177391 13.892954 0.082331
114 79.33599 54.744273 14.360866 0.083266
115 79.33599 53.424557 14.158843 0.084047
116 79.33599 52.745614 13.984185 0.085508
