

gen best mean std div
0 33.790706 -3.476805 7.351248 0.762988
1 33.791841 -0.656306 9.590918 0.750413
2 33.792759 3.238349 11.61837 0.735311
3 46.384742 9.299599 13.173296 0.721585
4 46.385764 16.130577 12.598832 0.69446
5 46.385764 21.207898 12.163136 0.648624
6 46.386791 27.072211 11.448392 0.568124
7 46.431457 30.404888 11.436694 0.499137
8 52.494526 34.474178 11.08711 0.405813
9 69.904957 38.278954 10.713315 0.290053
10 69.904957 40.506501 9.924289 0.276894
11 72.800888 43.234872 9.844675 0.187377
12 72.800888 44.841179 9.983655 0.127022
13 72.800888 46.35823 10.222846 0.128428
14 72.800888 48.245892 9.427712 0.085557
15 72.800888 49.523701 9.900566 0.087825
16 72.800888 50.943046 10.128342 0.088579
17 72.800888 51.142597 9.934049 0.090194
18 72.800888 49.915759 10.227482 0.09063
19 72.800888 50.824151 10.521276 0.089568
20 72.800888 50.774095 10.864296 0.089652
21 72.800888 51.923562 10.718038 0.090859
22 72.800888 52.460172 11.421918 0.092122
23 72.800888 54.404731 10.2747 0.092789
24 72.800888 55.407672 10.268382 0.092279
25 72.800888 54.294649 10.254246 0.092723
26 72.800888 54.402449 10.173697 0.093323
27 72.800888 55.058453 10.418497 0.093914
28 74.791772 56.564824 8.581591 0.095739
29 74.791772 55.627774 8.704773 0.096474
30 74.791772 54.516497 10.144293 0.097692
31 74.791772 55.454417 10.248885 0.100124
32 74.791772 54.795418 10.745795 0.102622
33 74.822099 55.4165 11.28037 0.105934
34 78.506506 56.599883 11.557466 0.106716
35 78.506506 57.447977 12.201505 0.107848
36 78.506506 56.918107 12.961396 0.108004
37 78.506506 57.094441 12.566374 0.106985
38 78.506506 58.178931 11.609951 0.105185
39 78.506506 58.873323 12.415584 0.104324
40 78.506506 59.58175 11.798681 0.104256
41 78.506506 61.172163 10.659669 0.102943
42 78.506506 60.384863 11.500124 0.10072
43 78.506506 61.811365 11.53959 0.098892
44 78.506506 62.317278 10.987165 0.098354
45 78.537775 63.181854 10.767596 0.097024
46 78.537775 62.43322 10.754283 0.094759
47 78.537775 62.966074 11.145535 0.090189
48 78.537775 63.026331 11.699874 0.08694
49 78.537775 63.172404 11.720449 0.08322
50 78.537775 63.01147 11.950214 0.086758
51 78.537775 64.076771 11.502582 0.088286
52 78.537775 63.950722 11.654241 0.08629
53 78.537775 63.27927 12.37899 0.08793
54 78.537775 62.081444 13.275968 0.088681
55 78.537775 61.831894 13.44301 0.088336
56 78.537775 62.757837 12.126319 0.08834
57 83.279573 63.613195 13.111619 0.089758
58 83.279573 64.633265 12.015697 0.093609
59 83.279573 64.993253 11.657469 0.095783
60 83.279573 63.185967 13.326357 0.094545
61 83.279573 63.506054 13.793602 0.092522
62 83.279573 63.167435 14.109438 0.094167
63 83.279573 64.621442 12.85428 0.093663
64 83.279573 64.1966 13.543542 0.094501
65 83.279573 64.617396 13.304707 0.094145
66 83.279573 65.399549 12.101545 0.09443
67 83.279573 64.527916 12.169141 0.08921
68 83.279573 62.713707 13.978418 0.089462
69 83.279573 62.772265 14.119474 0.088229
70 83.755298 63.53265 14.30692 0.088994
71 83.755298 64.092148 13.581051 0.090657
72 83.755298 64.146988 13.633185 0.092146
73 83.755298 63.850059 14.804073 0.092093
74 83.755298 65.498034 12.715262 0.092798
75 83.755298 65.280483 12.677819 0.09405
76 83.755298 65.028282 12.858915 0.093482
77 83.755298 65.649549 11.130022 0.094486
78 83.755298 65.962592 11.73492 0.09346
79 83.755298 64.539892 12.562578 0.093577
80 83.755298 64.063873 13.750604 0.093177
81 83.755298 63.824947 13.3292 0.093448
82 83.755298 64.499931 12.758629 0.094154
83 83.755298 65.398721 11.973282 0.090908
