

gen best mean std
0 85.993424 3.510577 18.787118
1 85.993424 10.617107 25.017044
2 89.215851 20.502524 30.478396
3 89.215851 31.260261 31.857781
4 89.215851 44.705985 33.018213
5 89.215851 56.683248 31.942136
6 89.215851 67.463241 25.538997
7 89.268774 71.014886 23.338633
8 89.268774 76.093428 18.151428
9 89.268774 76.298266 18.295981
10 89.268774 75.992614 18.943709
11 89.268774 75.890985 19.70044
12 90.623649 77.373589 19.19334
13 90.623649 83.021057 10.414198
14 90.623649 79.986318 17.534994
15 90.623649 80.948004 15.43754
16 90.623649 77.987241 18.870726
17 90.623649 79.712362 16.991138
18 90.623649 80.231064 16.773257
19 90.623649 78.533701 19.684725
20 90.623649 80.694883 16.402266
21 90.623649 80.429264 16.849936
22 90.623649 79.009455 19.209008
23 90.623649 78.037653 20.369948
24 90.623649 80.538723 15.15483
25 90.623649 78.530394 18.695155

gen best mean std
0 92.394865 4.695646 21.935003
1 92.394865 12.836945 31.433089
2 92.394865 25.544194 40.501039
3 92.394865 45.293891 43.975
4 92.394865 61.115137 41.767561
5 92.448859 75.376162 34.329984
6 92.788559 82.148076 27.714336
7 92.788559 85.846855 22.119799
8 93.404051 89.832952 12.940038
9 93.404051 91.738751 1.696517
10 93.404051 91.762174 1.661918
11 93.404051 92.02106 1.305107
12 93.404051 92.150062 1.167479
13 93.404051 92.23764 0.979635
14 93.404051 92.270493 1.00227
15 93.404051 92.403937 0.779299
16 93.404051 92.401499 0.781099
17 93.404051 91.452858 6.625829
18 93.494823 91.491215 6.635368
19 93.494823 92.570376 0.468769
20 93.494823 91.32979 9.041886
21 93.494823 91.252259 9.029529
22 93.494823 91.284617 9.03625
23 93.494823 92.521527 0.525139
24 93.494823 92.504888 0.57599
25 93.494823 92.52818 0.52482

gen best mean std
0 88.795982 8.707083 28.591288
1 88.795982 22.192524 38.963251
2 88.795982 40.303767 43.127718
3 89.568533 57.556697 39.691876
4 89.868535 64.725625 36.00568
5 90.493561 73.015763 30.954225
6 90.493561 76.486955 28.019976
7 90.493561 79.829132 24.397158
8 90.493561 80.810019 22.362381
9 90.493561 80.919826 22.398874
10 90.793561 81.75286 21.197759
11 90.793561 84.149517 18.255221
12 90.793561 87.589781 10.864552
13 90.793561 86.21087 15.161946
14 90.793561 84.720786 18.353322
15 90.793561 88.766638 5.984855
16 90.793561 89.024021 5.987399
17 90.793561 87.66448 12.314324
18 90.793561 84.341654 19.576596
19 90.793561 84.290504 19.56553
20 90.793561 85.927073 16.671463
21 90.793561 88.534075 10.942036
22 90.853561 83.772826 21.106594
23 90.853561 83.622235 21.069404
24 90.853561 85.273932 18.477387
25 90.853561 84.259919 19.562663
